guid,travis_github_account,travis_repository
001d08e8-5e39-4824-8117-df996d35c531,codeforamerica,brigade-alpha
1bf2f3b3-bed8-42bc-91e8-d47f873443de,codeforamerica,bizarro-cms
5410eca6-0a90-4bf0-b9c0-39f679940ba4,codeforamerica,denver-schedules-api
7f784962-2d83-4ad5-a23d-a598bec3345e,codeforamerica,spot-it-like-its-hot
77db7e4d-a05a-4ee8-b7ab-3bd29c6dd1b0,codeforamerica,georelevent
2b40577c-2e35-4893-affa-c7fe5cfbe6b5,codeforamerica,bizfriendly-api
707eb273-de8f-4125-9f9f-846fb30bd83c,codeforamerica,engine-light
19c25e73-95dc-451d-a221-12a0a9008d9f,codeforamerica,rentfacts-api
72d031cc-8f21-4968-8db6-ff7370f5e98b,codeforamerica,cfapi
f16d5385-d040-4a39-b7f5-cdc3de835117,codeforamerica,civic-issue-finder
d4b6c15d-e2af-43ab-b546-0631a0a2e469,codeforamerica,oakland_answers
d702edae-5a33-478b-9d08-acc4a7826533,codeforamerica,CutePets
325e607a-561b-4e33-9fe0-b2f38d6b384b,codeforamerica,codeforamerica.org
6ee3ad02-a7ba-4f9d-aab5-fc4ce55a59d5,codeforamerica,OpenTrails
b4187edb-11eb-429e-bc0a-9eb92f6eead6,codeforamerica,transitmix
4083b10b-11a4-4ac5-9a7f-51c5cb614243,codeforamerica,streetmix
418a62a0-e994-432d-9df5-0b398504c48f,daguar,balance
98138ce2-1d31-4eac-91b8-55e763474cc9,codeforamerica,homebase
3f8160e4-1aa1-4fac-b40d-c2cbb63db6b7,codeforamerica,lexington-special-events
4b795a27-37e0-4d41-8b25-b580f623c1b4,CoquiCoders,bizwallet
44ca9e93-fc92-46bd-9b76-bafe54b90590,codeforamerica,cityvoice
e794be6b-2609-4246-b34a-6b20eb79b2c0,codeforamerica,promptly
67f80d53-afb0-4344-bd40-2644f55a4462,codeforamerica,ohana-web-search
